host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,days_joined
within an hour,100,99,FALSE,6,6,TRUE,Kallang,Central Region,1.31851,103.85272,apartment,Private room,1,1,1,46,3,1125,3,3,1125,1125,3,1125,30,60,90,90,9,2,0,89,9,9,10,9,9,8,TRUE,6,2,4,0,0.24,45,1000,42,1,Private,5,27,1801
within a few hours,100,60,FALSE,72,72,TRUE,Geylang,Central Region,1.31394,103.88638,apartment,Entire home/apt,2,1,1,77,90,365,90,90,365,365,90,365,0,0,25,115,30,1,0,97,10,10,10,10,9,10,FALSE,17,17,0,0,0.61,24,999,44,1,Other,5,17,2447
within a few hours,100,0,FALSE,3,3,TRUE,Bukit Batok,West Region,1.37522,103.75823,townhouse,Private room,2,1,1,180,2,20,2,2,20,20,2,20,29,59,89,89,9,0,0,100,10,10,10,10,8,10,FALSE,3,0,3,0,0.18,33,795,99,1,Private,7,22,1843
within an hour,90,100,TRUE,8,8,TRUE,Outram,Central Region,1.2796400000000001,103.83983,serviced apartment,Entire home/apt,5,2,2,221,3,210,3,14,210,210,3.9,210,24,54,84,175,54,0,0,96,10,10,10,10,10,9,FALSE,6,6,0,0,1.09,50,1000,697,2,Other,9,36,1477
within a few hours,100,0,FALSE,3,3,TRUE,Bukit Batok,West Region,1.37589,103.75719,townhouse,Private room,2,1,1,160,5,30,5,5,30,30,5,30,29,59,89,89,17,0,0,95,10,10,10,10,8,10,FALSE,3,0,3,0,0.34,34,743,99,1,Shared,7,21,1843
within a few hours,100,0,FALSE,3,3,TRUE,Bukit Batok,West Region,1.37612,103.75703,townhouse,Private room,2,1,1,160,5,30,5,5,30,30,5,30,0,0,0,0,19,0,0,97,10,10,10,10,9,9,FALSE,3,0,3,0,0.38,34,761,99,1,Shared,7,18,1843
N/A,NA,NA,FALSE,1,1,TRUE,Bukit Merah,Central Region,1.27505,103.83669,apartment,Private room,1,1,1,200,2,6,2,2,6,6,2,6,28,58,88,89,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,32,681,NA,1,Private,5,16,2132
within an hour,100,78,FALSE,3,3,TRUE,Bedok,East Region,1.31871,103.91242,house,Private room,2,NA,2,42,1,1125,1,1,1125,1125,1,1125,0,0,27,117,141,3,0,91,10,10,9,10,9,9,FALSE,3,0,3,0,3.07,30,447,NA,2,Shared,6,14,1468
within an hour,100,NA,FALSE,1,1,FALSE,Bukit Batok,West Region,1.36167,103.7662,condominium,Private room,2,1,1,40,90,1125,90,90,1125,1125,90,1125,28,58,88,363,1,0,0,80,8,6,10,10,10,8,FALSE,1,0,1,0,0.04,48,228,NA,1,Shared,3,25,2016
within an hour,95,100,FALSE,68,68,TRUE,Kallang,Central Region,1.31324,103.85628,apartment,Private room,1,1,1,35,18,365,18,18,365,365,18,365,25,55,85,360,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,79,1,78,0,NA,50,1000,84,2,Shared,5,27,1550
N/A,NA,NA,FALSE,1,1,TRUE,Sengkang,North-East Region,1.38086,103.90202,condominium,Private room,2,1,2,50,180,1125,180,180,1125,1125,180,1125,28,58,88,363,6,0,0,92,10,9,10,10,9,10,FALSE,1,0,1,0,0.12,16,998,NA,1,Private,5,16,2140
within a day,75,100,FALSE,8,8,TRUE,Outram,Central Region,1.28331,103.8435,hostel,Hotel room,12,1,12,30,1,1125,1,1,1125,1125,1,1125,30,60,90,180,17,0,0,85,10,9,9,9,10,9,TRUE,8,0,2,0,0.34,49,999,NA,6,Other,3,19,1535
within a day,75,100,FALSE,8,8,TRUE,Outram,Central Region,1.2845,103.84367,hostel,Hotel room,10,1,10,31,1,1125,1,1,1125,1125,1,1125,30,60,90,180,11,0,0,95,10,9,9,10,10,10,TRUE,8,0,2,0,0.22,48,999,NA,6,Other,3,19,1535
N/A,NA,NA,FALSE,1,1,FALSE,Clementi,West Region,1.325,103.76093,apartment,Entire home/apt,1,1,1,350,7,14,7,7,14,14,7,14,29,59,89,364,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1,0,0,NA,26,387,87,1,Other,2,9,2098
within a few hours,100,98,FALSE,75,75,TRUE,Kallang,Central Region,1.30743,103.86299,apartment,Private room,1,1,0,25,18,365,18,18,365,365,18,365,26,56,86,361,1,0,0,100,10,10,10,10,10,8,FALSE,108,2,106,0,0.04,37,1000,84,3,Shared,7,28,2660
N/A,NA,NA,FALSE,1,1,TRUE,Yishun,North Region,1.41835,103.83797,apartment,Private room,1,1,1,21,365,1125,365,365,1125,1125,365,1125,30,60,90,365,2,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0,1,0,0.04,33,999,NA,1,Other,8,8,1752
within an hour,100,97,FALSE,10,10,TRUE,Geylang,Central Region,1.31488,103.88725,condominium,Private room,4,1,2,62,1,1125,1,1,1125,1125,1,1125,29,59,89,269,154,0,0,88,9,9,10,10,9,9,FALSE,5,0,5,0,3.11,44,1000,NA,2,Shared,9,21,1561
within an hour,100,71,FALSE,13,13,TRUE,Geylang,Central Region,1.30953,103.90121,townhouse,Entire home/apt,8,2,2,149,5,365,5,5,365,365,5,365,22,52,82,172,112,2,0,95,10,9,10,10,10,10,FALSE,8,1,7,0,2.42,30,621,NA,1.5,Other,6,25,1888
within an hour,100,NA,FALSE,0,0,FALSE,River Valley,Central Region,1.29773,103.83738,condominium,Entire home/apt,4,1,2,130,90,1125,90,90,1125,1125,90,1125,0,0,0,0,13,0,0,89,9,10,10,10,10,8,TRUE,1,1,0,0,0.27,35,999,NA,1,Other,3,15,1470
within a few hours,93,9,FALSE,16,16,TRUE,Kallang,Central Region,1.31262,103.85775,apartment,Entire home/apt,6,1,2,167,1,1125,1,1,1125,1125,1,1125,16,46,76,351,1,0,0,100,10,8,10,10,10,10,FALSE,16,16,0,0,0.03,49,1000,54,1,Other,8,35,2306
within an hour,100,96,TRUE,266,266,TRUE,Downtown Core,Central Region,1.27468,103.84573,apartment,Entire home/apt,2,1,1,130,30,1125,30,30,1125,1125,30,1125,0,28,58,333,34,0,0,98,10,10,10,10,10,10,TRUE,123,123,0,0,0.78,43,1000,589,1,Other,5,33,1728
within an hour,100,100,FALSE,2,2,TRUE,Woodlands,North Region,1.43004,103.79855,apartment,Entire home/apt,2,1,1,71,90,1125,90,90,1125,1125,90,1125,30,60,90,365,25,1,0,96,10,9,10,10,9,9,FALSE,1,1,0,0,0.54,17,968,11,1,Other,6,27,2502
a few days or more,0,NA,FALSE,3,3,FALSE,Bukit Merah,Central Region,1.28382,103.82485,apartment,Private room,2,1,1,70,3,180,3,3,1125,1125,3,1125,0,0,0,0,12,0,0,80,9,7,10,9,9,8,FALSE,3,0,3,0,0.25,44,782,NA,1,Shared,4,6,1736
within a few hours,90,73,FALSE,8,8,TRUE,Tanglin,Central Region,1.31094,103.80467,condominium,Entire home/apt,3,1,1,150,3,1125,1,3,1125,1125,3,1125,29,59,89,364,29,0,0,93,10,10,10,10,9,9,FALSE,8,8,0,0,0.6,23,996,NA,1.5,Other,6,29,2051
within a few hours,90,100,FALSE,20,20,TRUE,River Valley,Central Region,1.29903,103.83714,serviced apartment,Hotel room,2,NA,1,120,6,1125,6,6,1125,1125,6,1125,30,60,83,332,12,2,0,95,10,10,10,10,10,9,TRUE,17,2,1,0,0.25,41,999,113,1,Other,6,19,1450
within a few hours,90,100,FALSE,20,20,TRUE,River Valley,Central Region,1.29771,103.83709,serviced apartment,Hotel room,2,NA,1,120,6,1125,6,6,1125,1125,6,1125,30,60,90,339,19,0,0,90,9,9,9,10,10,9,TRUE,17,2,1,0,0.4,50,1000,113,1,Other,6,19,1450
within a few hours,90,100,FALSE,20,20,TRUE,Orchard,Central Region,1.299,103.83836,apartment,Entire home/apt,2,1,1,120,6,1125,6,6,1125,1125,6,1125,30,60,90,339,8,0,0,95,10,9,10,10,10,10,TRUE,17,2,1,0,0.17,49,1000,113,1,Other,6,24,1450
within an hour,100,65,TRUE,3,3,TRUE,Bukit Timah,Central Region,1.31077,103.796,apartment,Private room,2,1,1,83,2,1125,2,2,1125,1125,2,1125,29,59,89,364,11,2,0,98,10,10,10,10,9,10,FALSE,3,1,2,0,0.23,49,1000,176,1.5,Other,6,33,2114
within an hour,100,98,FALSE,127,127,TRUE,Kallang,Central Region,1.30976,103.86193,apartment,Private room,1,1,1,28,18,365,18,18,1125,1125,18,1125,29,59,89,364,2,0,0,100,10,10,10,10,6,8,FALSE,136,2,134,0,0.05,29,1000,70,3,Shared,5,28,3149
within a few hours,100,100,FALSE,18,18,TRUE,Kallang,Central Region,1.31114,103.86054,hostel,Shared room,16,1,16,24,1,1125,1,1,1125,1125,1,1125,0,23,53,328,23,0,0,71,8,7,9,9,9,8,FALSE,18,0,0,7,0.47,39,998,1194,6,Shared,3,18,1906
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28669,103.84767,hostel,Hotel room,1,1,1,27,1,1125,1,1,1125,1125,1,1125,30,60,90,365,27,2,0,90,10,9,9,9,10,9,TRUE,44,0,2,1,0.55,36,1000,605,3,Other,3,16,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28832,103.84691,bed and breakfast,Hotel room,1,1,1,29,1,1125,1,1,1125,1125,1,1125,30,60,90,365,28,0,0,92,9,9,9,10,10,9,TRUE,44,0,2,1,0.58,35,1000,605,3,Other,3,17,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28723,103.84843,hostel,Hotel room,1,1,1,29,1,1125,1,1,1125,1125,1,1125,30,60,90,365,7,0,0,77,8,8,9,9,9,8,TRUE,44,0,2,1,0.15,20,999,605,3,Other,3,18,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28696,103.84686,hostel,Hotel room,1,1,1,31,1,1125,1,1,1125,1125,1,1125,30,60,90,365,26,0,0,91,10,10,10,9,10,9,TRUE,44,0,2,1,0.53,19,1000,605,3,Other,3,18,1750
a few days or more,0,NA,FALSE,3,3,FALSE,Bukit Merah,Central Region,1.28444,103.82431,apartment,Private room,2,1,1,70,180,360,1,180,1125,1125,26.5,1125,0,0,0,0,38,0,0,89,9,8,10,9,9,9,FALSE,3,0,3,0,0.78,26,782,NA,1,Other,4,9,1736
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.2866,103.84619000000001,hostel,Hotel room,1,1,1,29,1,1125,1,1,1125,1125,1,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,44,0,2,1,NA,35,1000,605,3,Other,3,18,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28798,103.84775,hostel,Hotel room,1,1,1,29,1,1125,1,1,1125,1125,1,1125,30,60,90,365,5,0,0,96,9,9,9,10,9,10,TRUE,44,0,2,1,0.11,35,1000,605,3,Other,3,18,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28804,103.84632,hostel,Hotel room,1,1,1,29,1,1125,1,1,1125,1125,1,1125,30,60,90,365,5,0,0,92,9,9,10,10,10,10,TRUE,44,0,2,1,0.1,35,1000,605,3,Other,3,18,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28636,103.84616,hostel,Hotel room,1,1,1,27,1,1125,1,1,1125,1125,1,1125,30,60,90,365,28,1,0,90,9,9,10,10,10,9,TRUE,44,0,2,1,0.6,35,1000,605,3,Other,3,18,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.2868,103.84794,hostel,Hotel room,1,1,1,27,1,1125,1,1,1125,1125,1,1125,30,60,90,365,2,0,0,80,9,9,10,7,10,9,TRUE,44,0,2,1,0.05,35,1000,605,3,Other,3,18,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28722,103.84838,hostel,Hotel room,1,1,1,27,1,1125,1,1,1125,1125,1,1125,30,60,90,365,10,0,0,90,10,9,10,10,10,10,TRUE,44,0,2,1,0.21,35,1000,605,3,Other,3,17,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28827,103.84799,hostel,Hotel room,1,1,1,31,1,1125,1,1,1125,1125,1,1125,30,60,90,365,2,0,0,100,10,10,10,10,10,10,TRUE,44,0,2,1,0.04,19,1000,605,3,Other,3,18,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28797,103.84639,hostel,Hotel room,1,1,1,29,1,1125,1,1,1125,1125,1,1125,30,60,90,365,8,0,0,83,10,9,10,9,10,8,TRUE,44,0,2,1,0.17,21,1000,605,3,Other,3,18,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28701,103.8477,hostel,Hotel room,1,1,1,29,1,1125,1,1,1125,1125,1,1125,30,60,90,365,1,0,0,60,6,8,8,6,8,6,TRUE,44,0,2,1,0.02,21,1000,605,3,Other,3,18,1750
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28692,103.84805,hostel,Hotel room,1,1,1,29,1,1125,1,1,1125,1125,1,1125,30,60,90,365,12,0,0,88,10,9,9,10,10,9,TRUE,44,0,2,1,0.25,21,1000,605,3,Other,3,18,1750
within an hour,100,65,TRUE,3,3,TRUE,Queenstown,Central Region,1.30774,103.79724,apartment,Entire home/apt,3,2,2,234,2,1125,2,2,1125,1125,2,1125,29,59,89,364,15,1,0,99,10,10,10,10,10,10,FALSE,3,1,2,0,0.31,49,999,176,3,Other,6,32,2114
within a few hours,90,100,FALSE,20,20,TRUE,River Valley,Central Region,1.29724,103.83661,apartment,Entire home/apt,2,1,1,115,7,1125,7,7,1125,1125,7,1125,30,60,90,339,23,0,0,90,9,9,10,10,10,9,TRUE,17,2,1,0,0.49,49,999,113,1,Other,6,26,1450
within a few hours,100,100,FALSE,43,43,FALSE,Bedok,East Region,1.31338,103.92979,house,Private room,1,1,0,26,356,1125,356,356,1125,1125,356,1125,30,60,90,365,1,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,44,0,2,1,0.04,50,549,605,1.5,Shared,3,11,1750
within a few hours,90,100,FALSE,20,20,TRUE,River Valley,Central Region,1.29704,103.83648,serviced apartment,Hotel room,2,1,1,115,6,1125,6,6,1125,1125,6,1125,30,60,83,332,12,0,0,88,9,9,10,10,10,9,TRUE,17,2,1,0,0.25,46,999,113,1,Other,6,22,1450
a few days or more,0,NA,FALSE,3,3,FALSE,Sembawang,North Region,1.44115,103.82446,house,Private room,6,2,5,92,6,86,6,7,86,86,6.3,86,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,6,0,6,0,NA,47,586,221,1,Private,3,8,1443
within a few hours,100,100,FALSE,13,13,TRUE,Rochor,Central Region,1.29943,103.85274,apartment,Shared room,4,1,4,29,2,180,2,2,1125,1125,2,1125,29,59,89,364,15,2,0,93,9,9,9,10,10,9,FALSE,13,0,1,12,0.31,46,995,459,2,Shared,3,30,1892
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28633,103.8468,hostel,Hotel room,1,1,1,39,1,1125,1,1,1125,1125,1,1125,25,55,85,360,5,0,0,92,9,9,10,10,10,9,TRUE,44,0,2,1,0.1,19,999,605,0,Other,3,16,1750
a few days or more,0,NA,FALSE,3,3,FALSE,Sembawang,North Region,1.44065,103.82362,house,Private room,2,1,1,73,7,365,7,7,365,365,7,365,30,60,90,365,2,0,0,80,10,10,10,10,10,10,FALSE,6,0,6,0,0.04,44,95,221,1,Private,3,9,1443
within an hour,100,95,FALSE,9,9,TRUE,Kallang,Central Region,1.3068,103.86003,apartment,Private room,2,1,1,80,1,1125,1,1,1125,1125,1,1125,0,0,0,0,233,24,0,95,10,9,10,10,10,9,FALSE,2,0,2,0,4.77,49,1000,253,1,Shared,7,28,3064
within a few hours,90,73,FALSE,8,8,TRUE,River Valley,Central Region,1.29562,103.83587,condominium,Entire home/apt,4,2,3,210,3,1125,1,3,1125,1125,3,1125,23,53,83,332,84,4,0,91,10,10,9,9,9,8,FALSE,8,8,0,0,1.73,28,1000,NA,2,Other,6,27,2051
within a few hours,100,81,TRUE,4,4,FALSE,Novena,Central Region,1.32437,103.8488,townhouse,Private room,2,1,0,45,4,1125,4,4,1125,1125,4,1125,1,31,61,61,8,1,0,93,9,9,10,10,10,10,FALSE,2,0,2,0,0.19,33,1000,NA,1.5,Other,3,16,1668
within a few hours,100,100,FALSE,13,13,TRUE,Rochor,Central Region,1.29806,103.85257,apartment,Shared room,4,1,5,29,5,180,2,5,1125,1125,5,1125,30,60,90,365,14,0,0,91,9,9,10,10,10,9,TRUE,13,0,1,12,0.33,47,998,459,3,Shared,3,26,1892
within a day,75,100,FALSE,8,8,TRUE,Outram,Central Region,1.28466,103.8435,hostel,Hotel room,12,1,10,31,1,1125,1,1,1125,1125,1,1125,30,60,90,365,36,0,0,86,9,8,9,9,10,9,TRUE,8,0,2,0,0.75,49,1000,NA,6,Other,3,17,1535
within a few hours,100,100,TRUE,2,2,FALSE,Serangoon,North-East Region,1.38559,103.87359,townhouse,Private room,2,1,2,75,2,31,2,2,31,31,2,31,0,0,0,183,26,5,0,97,10,10,10,10,9,10,FALSE,2,0,2,0,0.54,29,781,621,1,Private,5,23,2853
within a day,80,85,FALSE,18,18,TRUE,Kallang,Central Region,1.31005,103.85829,hostel,Private room,16,1,16,560,1,1125,1,1,1125,1125,1,1125,25,55,85,360,2,0,0,70,8,7,9,10,8,9,FALSE,17,0,4,11,0.05,25,1000,NA,1,Shared,5,15,1734
N/A,NA,NA,FALSE,1,1,TRUE,Ang Mo Kio,North-East Region,1.37441,103.828,house,Private room,1,1,1,35,90,365,90,90,365,365,90,365,23,53,83,358,1,0,0,100,10,10,10,10,10,10,FALSE,1,0,1,0,0.02,31,688,NA,1,Shared,9,8,2062
N/A,NA,NA,FALSE,1,1,FALSE,River Valley,Central Region,1.29772,103.8362,loft,Private room,2,1,1,137,100,1125,90,100,1125,1125,97.1,1125,30,60,90,181,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,34,799,NA,2,Other,3,16,2204
a few days or more,0,60,FALSE,3,3,TRUE,Bukit Timah,Central Region,1.33869,103.78381,house,Private room,4,1,1,135,2,60,2,2,60,60,2,60,0,0,0,0,22,0,0,94,9,9,9,9,9,10,FALSE,2,0,2,0,0.47,32,791,NA,1,Private,5,11,1439
within a few hours,100,93,FALSE,9,9,TRUE,Geylang,Central Region,1.31198,103.87923,condominium,Private room,2,1,2,39,1,1125,1,1,1125,1125,1,1125,30,60,90,365,5,0,0,80,8,9,8,8,8,8,FALSE,9,1,8,0,0.16,46,123,26,1,Private,6,23,2194
a few days or more,0,NA,FALSE,2,2,FALSE,Rochor,Central Region,1.30212,103.84809,apartment,Private room,2,1,1,65,30,30,30,30,1125,1125,30,1125,29,59,89,179,38,0,0,91,9,9,9,9,10,9,FALSE,2,0,2,0,0.79,38,585,NA,1,Shared,3,26,1428
a few days or more,0,NA,FALSE,1,1,TRUE,Queenstown,Central Region,1.27437,103.8007,condominium,Private room,2,1,1,93,1,1125,1,1,1125,1125,1,1125,29,59,89,179,1,0,0,100,10,10,10,10,10,10,FALSE,1,0,1,0,0.03,31,253,NA,1,Shared,7,10,2417
within a few hours,93,9,FALSE,16,16,TRUE,Kallang,Central Region,1.31225,103.86085,apartment,Entire home/apt,6,1,2,167,1,1125,1,1,1125,1125,1,1125,16,46,76,351,1,0,0,100,8,8,10,10,10,10,FALSE,16,16,0,0,0.06,39,1000,54,1,Other,8,38,2306
a few days or more,0,NA,FALSE,3,3,FALSE,Sembawang,North Region,1.44173,103.8248,house,Private room,2,1,1,92,7,1125,7,7,1125,1125,7,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,6,0,6,0,NA,35,177,221,1,Private,3,10,1443
a few days or more,0,60,FALSE,3,3,TRUE,Bukit Timah,Central Region,1.34033,103.78316,house,Private room,4,1,1,135,2,60,2,2,60,60,2,60,28,58,88,88,56,1,0,92,9,9,9,9,9,9,FALSE,2,0,2,0,1.29,19,891,NA,1,Private,5,12,1439
within an hour,95,100,FALSE,68,68,TRUE,Geylang,Central Region,1.31522,103.882,apartment,Private room,1,1,1,59,18,999,18,18,1125,1125,18,1125,29,59,89,364,1,0,0,100,10,10,10,10,10,10,TRUE,79,1,78,0,0.02,48,1000,84,3,Other,5,29,1550
within an hour,100,97,FALSE,15,15,TRUE,Geylang,Central Region,1.31319,103.87916,apartment,Private room,4,1,4,60,2,1125,2,2,1125,1125,2,1125,30,60,90,90,127,2,0,91,10,9,10,10,9,9,TRUE,8,1,7,0,2.66,46,1000,762,2,Shared,10,16,2062
within a few hours,100,50,TRUE,2,2,TRUE,Woodlands,North Region,1.43141,103.7738,apartment,Private room,2,2,2,40,21,1125,21,21,1125,1125,21,1125,30,60,90,365,10,4,1,94,9,10,9,10,10,9,FALSE,1,0,1,0,0.33,26,999,NA,2,Shared,7,33,2237
within a few hours,100,100,FALSE,43,43,FALSE,Singapore River,Central Region,1.28818,103.84775,hostel,Hotel room,1,1,1,39,1,1125,1,1,1125,1125,1,1125,25,55,85,360,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,44,0,2,1,NA,19,999,605,0,Other,3,17,1750
within a few hours,100,89,FALSE,40,40,TRUE,Outram,Central Region,1.28149,103.84242,serviced apartment,Entire home/apt,1,1,0,65,90,1125,90,90,1125,1125,90,1125,30,60,90,365,8,1,0,100,10,10,10,10,10,10,FALSE,38,35,1,0,0.19,41,1000,1067,1,Other,5,24,2250
within a few hours,100,100,FALSE,13,13,TRUE,Downtown Core,Central Region,1.29615,103.85461,house,Private room,3,1,2,71,6,1125,2,6,1125,1125,6,1125,26,56,86,176,64,1,0,91,9,9,10,10,10,9,TRUE,13,0,1,12,1.33,25,996,459,3,Shared,3,35,1892
within an hour,100,100,FALSE,23,23,TRUE,Newton,Central Region,1.30612,103.84001,apartment,Private room,2,1,1,106,90,1125,90,90,1125,1125,90,1125,29,59,89,364,15,1,0,95,10,9,10,10,10,9,FALSE,19,1,18,0,0.31,28,653,567,1.5,Other,5,12,2541
within an hour,100,82,FALSE,14,14,TRUE,Jurong West,West Region,1.34532,103.7213,apartment,Private room,3,1,2,68,5,1125,5,5,1125,1125,5,1125,30,60,90,365,5,1,0,68,8,7,7,8,8,7,FALSE,2,0,2,0,0.11,47,999,20,1.5,Shared,8,28,2299
within an hour,98,93,FALSE,5,5,TRUE,Choa Chu Kang,West Region,1.37944,103.75984,condominium,Entire home/apt,16,1,2,377,1,1125,1,1,1125,1125,1,1125,26,56,86,176,93,13,0,85,9,9,9,9,9,8,FALSE,5,5,0,0,1.98,31,1000,NA,1,Other,8,19,1530
a few days or more,0,25,FALSE,0,0,FALSE,Kallang,Central Region,1.31143,103.86067,hostel,Shared room,16,1,NA,49,1,1125,1,1,1125,1125,1,1125,30,60,90,365,16,0,0,80,9,8,9,9,8,8,FALSE,2,0,0,2,0.36,50,602,1194,6,Shared,3,16,1408
within an hour,100,100,FALSE,2,2,FALSE,Downtown Core,Central Region,1.27515,103.84332,apartment,Private room,2,1,1,42,180,1125,180,180,1125,1125,180,1125,29,59,89,364,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,2,0,2,0,NA,33,402,56,1,Private,2,13,2277
within an hour,95,100,FALSE,68,68,TRUE,Kallang,Central Region,1.30938,103.86231,apartment,Private room,1,1,1,59,18,365,18,18,1125,1125,18,1125,29,59,89,364,2,0,0,90,7,7,10,10,10,6,TRUE,79,1,78,0,0.04,43,999,84,3,Shared,5,27,1550
within an hour,100,0,FALSE,3,3,TRUE,Rochor,Central Region,1.30167,103.84721,condominium,Private room,2,1,1,121,1,1125,1,1,1125,1125,1,1125,30,60,90,365,9,0,0,89,9,9,8,9,9,8,FALSE,3,1,2,0,0.24,22,402,NA,1,Shared,5,18,1944
within an hour,95,100,FALSE,68,68,TRUE,Kallang,Central Region,1.31033,103.8615,apartment,Private room,1,1,1,25,18,1124,18,18,1125,1125,18,1125,27,57,87,362,1,0,0,100,10,10,10,10,10,10,TRUE,79,1,78,0,0.02,36,1000,84,3,Shared,5,28,1550
within an hour,95,100,FALSE,68,68,TRUE,Outram,Central Region,1.28436,103.84309,apartment,Private room,1,1,1,61,18,1124,18,18,1125,1125,18,1125,26,56,86,361,1,0,0,100,10,10,10,10,10,10,TRUE,79,1,78,0,0.02,41,1000,84,1,Private,5,29,1550
within an hour,95,100,FALSE,68,68,TRUE,Kallang,Central Region,1.30972,103.86321,apartment,Private room,1,1,1,49,18,365,18,18,365,365,18,365,30,60,90,365,1,1,0,100,10,8,10,10,10,10,TRUE,79,1,78,0,0.83,36,1000,84,2,Shared,5,28,1550
within an hour,95,100,FALSE,68,68,TRUE,Kallang,Central Region,1.3078,103.8615,apartment,Private room,1,1,0,25,18,365,6,18,365,365,17.9,365,26,56,86,361,4,0,0,95,10,9,10,9,10,9,TRUE,79,1,78,0,0.09,36,999,84,3,Shared,5,28,1550
within a few hours,100,89,FALSE,40,40,TRUE,Outram,Central Region,1.2813,103.84288,serviced apartment,Entire home/apt,1,1,1,74,90,1125,90,90,1125,1125,90,1125,30,60,90,365,5,0,0,100,10,10,10,10,10,10,FALSE,38,35,1,0,0.17,38,1000,1067,1,Other,5,22,2250
a few days or more,0,100,FALSE,1,1,FALSE,Outram,Central Region,1.2829,103.84417,bed and breakfast,Hotel room,1,7,58,56,1,1125,1,1,1125,1125,1,1125,30,60,90,365,76,1,0,93,10,9,9,10,10,9,TRUE,1,0,0,0,1.61,27,270,NA,12.5,Other,3,20,1392
N/A,NA,NA,FALSE,1,1,TRUE,Marine Parade,Central Region,1.3035,103.89663,house,Private room,1,1,1,65,90,1125,90,90,1125,1125,90,1125,30,60,90,90,1,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0,1,0,0.03,24,560,NA,1,Private,7,10,1476
a few days or more,0,25,FALSE,0,0,FALSE,Kallang,Central Region,1.31157,103.86069,hostel,Shared room,16,1,16,25,1,1125,1,1,1125,1125,1,1125,30,60,90,365,43,0,0,84,9,8,10,9,9,9,FALSE,2,0,0,2,0.91,34,602,1194,4,Shared,3,17,1408
within a few hours,90,NA,FALSE,4,4,FALSE,Bedok,East Region,1.3209,103.92162,house,Private room,6,1,1,88,1,30,1,1,30,30,1,30,30,60,90,90,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,4,0,4,0,NA,49,564,NA,1.5,Other,3,21,1665
within an hour,100,20,TRUE,1,1,TRUE,Jurong West,West Region,1.33863,103.69112,house,Private room,2,1,1,90,3,90,3,3,90,90,3,90,0,0,0,0,32,2,1,99,10,10,10,10,10,10,FALSE,1,0,1,0,0.74,9,379,56,1,Private,7,23,1388
