host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,days_joined
within an hour,100,46,FALSE,6,6,FALSE,Kallang,Central Region,1.31099,103.86083000000001,bed and breakfast,Private room,6,1,6,146,1,1125,1,1,1125,1125,1,1125,24,54,84,359,6,4,1,87,8,9,10,10,10,9,FALSE,6,0,5,1,0.48,47,789,324,2,Shared,1,15,365
N/A,NA,NA,FALSE,1,1,FALSE,Bukit Merah,Central Region,1.27558,103.8252,apartment,Private room,1,NA,1,38,1,1125,1,1,1125,1125,1,1125,29,59,89,180,1,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,1,0,1,0,0.08,13,163,NA,0.5,Shared,2,8,687
within an hour,88,100,FALSE,12,12,TRUE,River Valley,Central Region,1.29666,103.83938,apartment,Entire home/apt,4,1,2,142,7,1125,1,7,1125,1125,6.7,1125,22,52,82,357,4,4,1,95,10,10,10,10,10,10,TRUE,1,1,0,0,0.4,50,999,NA,1,Other,4,25,1461
within an hour,91,95,FALSE,58,58,TRUE,River Valley,Central Region,1.29479,103.83865,condominium,Entire home/apt,4,1,3,121,2,1125,1,2,1125,1125,1.9,1125,21,51,81,356,44,44,3,93,9,9,10,9,9,9,TRUE,15,11,4,0,3.62,49,1000,2,1,Other,4,27,2594
within an hour,100,98,FALSE,127,127,TRUE,Kallang,Central Region,1.31106,103.86165,apartment,Private room,1,1,1,22,18,1125,18,18,1125,1125,18,1125,26,56,86,361,3,3,1,100,10,10,10,10,10,10,FALSE,136,2,134,0,0.25,36,1000,70,3,Shared,5,28,3149
within a few hours,96,49,FALSE,33,33,TRUE,Marine Parade,Central Region,1.30492,103.90159,apartment,Entire home/apt,2,2,2,98,30,1125,30,30,1125,1125,30,1125,9,35,65,340,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,43,43,0,0,NA,38,1000,371,1,Other,8,15,1914
within a few hours,96,49,FALSE,33,33,TRUE,Marine Parade,Central Region,1.30544,103.90264,apartment,Entire home/apt,2,2,3,198,3,1125,3,3,1125,1125,3,1125,27,57,87,177,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,43,43,0,0,NA,38,1000,371,1,Other,8,15,1914
within a few hours,96,49,FALSE,33,33,TRUE,Geylang,Central Region,1.30997,103.87655,apartment,Entire home/apt,9,3,4,185,3,1125,3,3,1125,1125,3,1125,27,57,87,177,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,43,43,0,0,NA,39,1000,371,3,Other,8,18,1914
within a few hours,96,49,FALSE,33,33,TRUE,Geylang,Central Region,1.31194,103.87642,apartment,Entire home/apt,9,3,4,185,3,1125,3,3,1125,1125,3,1125,0,0,0,0,1,1,0,100,10,10,10,10,10,10,FALSE,43,43,0,0,0.1,39,1000,371,3,Other,8,16,1914
within an hour,100,46,FALSE,6,6,FALSE,Kallang,Central Region,1.31065,103.86114,bed and breakfast,Private room,10,1,10,246,1,1125,1,1,1125,1125,1,1125,29,59,89,364,2,2,0,60,7,7,8,9,8,7,FALSE,6,0,5,1,0.18,44,824,324,1,Private,1,14,365
within a few hours,96,49,FALSE,33,33,TRUE,Geylang,Central Region,1.31167,103.87598,apartment,Entire home/apt,9,3,1,198,3,1125,3,3,1125,1125,3,1125,0,0,0,0,1,1,0,100,10,10,10,10,10,10,FALSE,43,43,0,0,0.11,39,1000,371,3,Other,8,17,1914
within a few hours,96,49,FALSE,33,33,TRUE,Kallang,Central Region,1.32846,103.86449,condominium,Entire home/apt,6,2,2,198,5,1125,5,5,1125,1125,5,1125,30,60,90,180,1,1,0,100,6,10,6,8,8,8,FALSE,43,43,0,0,0.13,49,1000,371,2,Other,8,18,1914
within an hour,100,96,TRUE,7,7,TRUE,Woodlands,North Region,1.43078,103.77853,apartment,Private room,2,1,2,31,185,1125,10,185,1125,1125,140.3,1125,30,60,90,154,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,7,0,4,3,NA,50,999,677,1,Shared,9,24,2897
within an hour,95,91,FALSE,48,48,TRUE,Novena,Central Region,1.32228,103.85286,condominium,Entire home/apt,3,1,2,153,3,1124,1,3,1125,1125,2.9,1125,29,59,89,364,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,48,48,0,0,NA,34,1000,40,1,Other,7,31,361
